iter	Passed	Remaining
0	49	49330
1	95	47849
2	141	47152
3	191	47629
4	238	47452
5	287	47566
6	331	47021
7	380	47227
8	427	47081
9	473	46920
10	514	46259
11	558	46002
12	605	45986
13	649	45772
14	693	45516
15	735	45256
16	779	45047
17	822	44867
18	864	44636
19	910	44608
20	958	44694
21	1000	44467
22	1046	44446
23	1091	44406
24	1136	44307
25	1179	44201
26	1223	44074
27	1269	44065
28	1314	44019
29	1354	43795
30	1402	43824
31	1441	43592
32	1483	43474
33	1531	43509
34	1574	43402
35	1629	43645
36	1676	43641
37	1722	43616
38	1772	43664
39	1818	43640
40	1861	43546
41	1908	43522
42	1950	43408
43	1995	43357
44	2040	43312
45	2088	43310
46	2134	43274
47	2182	43281
48	2226	43219
49	2271	43151
50	2316	43111
51	2366	43144
52	2409	43048
53	2451	42943
54	2495	42869
55	2538	42793
56	2581	42703
57	2625	42643
58	2673	42640
59	2723	42668
60	2767	42598
61	2810	42514
62	2851	42410
63	2900	42425
64	2954	42492
65	3008	42577
66	3061	42635
67	3113	42669
68	3164	42697
69	3215	42718
70	3264	42719
71	3314	42716
72	3367	42763
73	3413	42714
74	3459	42662
75	3503	42594
76	3547	42520
77	3594	42494
78	3639	42426
79	3684	42369
80	3727	42288
81	3774	42254
82	3820	42204
83	3872	42227
84	3916	42155
85	3958	42073
86	4004	42022
87	4048	41961
88	4090	41872
89	4137	41835
90	4185	41807
91	4231	41765
92	4282	41761
93	4331	41746
94	4402	41939
95	4460	42001
96	4525	42126
97	4575	42109
98	4621	42060
99	4669	42024
100	4713	41953
101	4754	41859
102	4798	41792
103	4840	41706
104	4893	41711
105	4936	41630
106	4979	41557
107	5021	41473
108	5061	41373
109	5104	41302
110	5149	41240
111	5193	41180
112	5248	41198
113	5302	41213
114	5362	41270
115	5410	41231
116	5454	41163
117	5497	41088
118	5543	41042
119	5584	40951
120	5625	40863
121	5666	40779
122	5712	40727
123	5752	40642
124	5795	40569
125	5839	40507
126	5886	40463
127	5932	40411
128	5974	40341
129	6020	40294
130	6065	40239
131	6111	40190
132	6159	40149
133	6203	40093
134	6248	40035
135	6289	39957
136	6337	39919
137	6382	39869
138	6426	39806
139	6474	39769
140	6520	39724
141	6566	39675
142	6611	39623
143	6656	39571
144	6702	39522
145	6742	39441
146	6786	39382
147	6832	39331
148	6881	39300
149	6927	39255
150	6969	39184
151	7014	39135
152	7060	39084
153	7104	39026
154	7147	38966
155	7192	38912
156	7236	38858
157	7283	38816
158	7331	38778
159	7381	38753
160	7431	38727
161	7476	38672
162	7521	38621
163	7563	38555
164	7606	38491
165	7649	38429
166	7693	38374
167	7738	38324
168	7785	38284
169	7831	38234
170	7879	38201
171	7937	38210
172	7987	38184
173	8041	38175
174	8099	38184
175	8149	38156
176	8201	38136
177	8250	38100
178	8302	38081
179	8348	38031
180	8395	37988
181	8442	37943
182	8488	37896
183	8538	37866
184	8587	37831
185	8633	37784
186	8678	37731
187	8722	37672
188	8766	37618
189	8811	37566
190	8861	37534
191	8908	37491
192	8952	37435
193	8999	37389
194	9047	37349
195	9108	37364
196	9152	37307
197	9200	37264
198	9245	37213
199	9290	37162
200	9340	37130
201	9384	37073
202	9430	37024
203	9476	36975
204	9519	36917
205	9565	36868
206	9610	36818
207	9657	36773
208	9704	36727
209	9750	36682
210	9794	36625
211	9840	36575
212	9881	36512
213	9925	36454
214	9967	36392
215	10010	36334
216	10054	36278
217	10102	36238
218	10147	36188
219	10190	36131
220	10237	36084
221	10278	36021
222	10319	35957
223	10366	35912
224	10408	35852
225	10447	35782
226	10489	35720
227	10532	35662
228	10573	35598
229	10620	35554
230	10661	35492
231	10707	35447
232	10751	35393
233	10793	35331
234	10840	35289
235	10885	35240
236	10926	35178
237	10972	35128
238	11020	35088
239	11067	35048
240	11116	35008
241	11164	34969
242	11208	34916
243	11254	34870
244	11298	34818
245	11349	34786
246	11394	34737
247	11444	34703
248	11489	34654
249	11536	34610
250	11582	34561
251	11627	34513
252	11671	34461
253	11716	34412
254	11760	34358
255	11805	34309
256	11853	34268
257	11900	34224
258	11944	34174
259	11990	34125
260	12037	34083
261	12081	34032
262	12144	34033
263	12192	33989
264	12235	33935
265	12282	33892
266	12327	33843
267	12375	33801
268	12421	33754
269	12465	33704
270	12510	33653
271	12557	33609
272	12602	33559
273	12661	33548
274	12704	33493
275	12749	33444
276	12796	33399
277	12845	33361
278	12899	33334
279	12955	33313
280	13009	33288
281	13060	33253
282	13112	33222
283	13166	33194
284	13213	33148
285	13274	33139
286	13352	33172
287	13412	33159
288	13475	33152
289	13543	33158
290	13608	33155
291	13669	33144
292	13741	33158
293	13825	33198
294	13876	33162
295	13921	33111
296	13965	33057
297	14010	33005
298	14056	32955
299	14105	32912
300	14157	32877
301	14204	32829
302	14248	32775
303	14290	32718
304	14340	32677
305	14385	32625
306	14495	32721
307	14542	32674
308	14589	32626
309	14636	32576
310	14677	32517
311	14724	32468
312	14775	32429
313	14832	32404
314	14875	32348
315	14921	32298
316	14964	32241
317	15005	32182
318	15051	32132
319	15096	32079
320	15140	32027
321	15182	31969
322	15232	31927
323	15275	31871
324	15318	31815
325	15366	31770
326	15414	31724
327	15455	31664
328	15498	31608
329	15545	31561
330	15587	31504
331	15629	31447
332	15675	31398
333	15725	31357
334	15772	31309
335	15824	31273
336	15866	31215
337	15914	31170
338	15961	31122
339	16012	31083
340	16061	31038
341	16109	30995
342	16157	30949
343	16206	30905
344	16262	30875
345	16310	30830
346	16359	30786
347	16409	30744
348	16458	30700
349	16509	30661
350	16556	30612
351	16607	30572
352	16656	30528
353	16705	30484
354	16749	30432
355	16797	30386
356	16846	30343
357	16891	30292
358	16938	30244
359	16986	30197
360	17027	30140
361	17073	30091
362	17122	30047
363	17167	29996
364	17212	29945
365	17266	29910
366	17319	29872
367	17363	29820
368	17408	29768
369	17455	29721
370	17501	29671
371	17548	29625
372	17596	29579
373	17640	29527
374	17689	29482
375	17737	29436
376	17783	29387
377	17829	29339
378	17879	29296
379	17936	29264
380	17996	29238
381	18049	29200
382	18100	29159
383	18153	29121
384	18204	29079
385	18256	29039
386	18305	28996
387	18356	28954
388	18407	28912
389	18452	28862
390	18499	28813
391	18545	28764
392	18594	28719
393	18641	28672
394	18683	28617
395	18730	28568
396	18776	28519
397	18819	28465
398	18864	28414
399	18910	28365
400	18955	28315
401	19000	28264
402	19059	28234
403	19101	28178
404	19149	28132
405	19192	28079
406	19241	28034
407	19293	27994
408	19356	27970
409	19398	27914
410	19443	27864
411	19486	27810
412	19531	27760
413	19579	27714
414	19627	27667
415	19673	27618
416	19715	27564
417	19763	27517
418	19813	27474
419	19863	27430
420	19904	27374
421	19948	27323
422	19990	27268
423	20040	27225
424	20088	27179
425	20147	27146
426	20191	27095
427	20242	27052
428	20311	27035
429	20406	27050
430	20495	27058
431	20624	27117
432	20668	27065
433	20718	27019
434	20761	26966
435	20816	26927
436	20873	26891
437	20916	26837
438	20964	26790
439	21012	26743
440	21056	26691
441	21101	26639
442	21147	26589
443	21191	26537
444	21239	26489
445	21288	26443
446	21334	26393
447	21380	26343
448	21427	26295
449	21471	26243
450	21516	26192
451	21559	26138
452	21607	26091
453	21653	26041
454	21684	25973
455	21734	25928
456	21780	25879
457	21827	25830
458	21871	25779
459	21914	25726
460	21965	25681
461	22008	25628
462	22053	25578
463	22101	25531
464	22147	25481
465	22195	25434
466	22243	25386
467	22293	25342
468	22338	25291
469	22384	25242
470	22430	25192
471	22476	25143
472	22523	25094
473	22568	25044
474	22612	24993
475	22659	24944
476	22709	24899
477	22753	24848
478	22804	24803
479	22852	24757
480	22901	24710
481	22961	24676
482	23012	24632
483	23064	24589
484	23112	24542
485	23167	24502
486	23219	24458
487	23266	24410
488	23315	24364
489	23362	24315
490	23411	24269
491	23458	24220
492	23506	24174
493	23548	24120
494	23596	24073
495	23641	24022
496	23686	23972
497	23730	23921
498	23780	23876
499	23829	23829
500	23877	23781
501	23924	23733
502	23972	23686
503	24016	23634
504	24058	23582
505	24103	23532
506	24151	23484
507	24193	23431
508	24238	23381
509	24290	23338
510	24338	23290
511	24381	23238
512	24430	23192
513	24475	23141
514	24519	23091
515	24563	23040
516	24608	22990
517	24655	22942
518	24700	22891
519	24741	22838
520	24789	22791
521	24834	22741
522	24882	22694
523	24928	22645
524	24968	22590
525	25012	22540
526	25053	22486
527	25098	22436
528	25140	22383
529	25183	22332
530	25230	22284
531	25275	22234
532	25318	22183
533	25368	22137
534	25411	22086
535	25451	22032
536	25493	21980
537	25533	21926
538	25576	21874
539	25620	21825
540	25663	21773
541	25711	21726
542	25754	21675
543	25800	21626
544	25846	21577
545	25894	21531
546	25943	21485
547	25983	21431
548	26029	21383
549	26072	21331
550	26115	21281
551	26158	21230
552	26206	21183
553	26250	21132
554	26300	21087
555	26344	21037
556	26393	20991
557	26436	20940
558	26480	20891
559	26528	20843
560	26573	20794
561	26621	20747
562	26664	20697
563	26710	20648
564	26761	20603
565	26809	20557
566	26854	20507
567	26901	20459
568	26947	20411
569	26997	20366
570	27043	20317
571	27089	20269
572	27133	20219
573	27180	20172
574	27226	20124
575	27277	20079
576	27325	20032
577	27372	19984
578	27422	19939
579	27468	19890
580	27510	19839
581	27555	19791
582	27601	19742
583	27643	19691
584	27687	19641
585	27732	19592
586	27779	19544
587	27826	19497
588	27876	19452
589	27933	19411
590	27988	19369
591	28049	19331
592	28100	19286
593	28154	19243
594	28206	19199
595	28256	19153
596	28314	19113
597	28364	19067
598	28410	19019
599	28462	18974
600	28509	18927
601	28558	18880
602	28601	18830
603	28647	18782
604	28699	18737
605	28743	18688
606	28796	18643
607	28844	18597
608	28891	18549
609	28942	18503
610	28989	18456
611	29035	18407
612	29081	18359
613	29129	18312
614	29172	18262
615	29214	18211
616	29261	18164
617	29307	18115
618	29356	18069
619	29399	18019
620	29448	17972
621	29497	17925
622	29544	17878
623	29585	17826
624	29628	17777
625	29674	17728
626	29713	17676
627	29759	17628
628	29805	17580
629	29854	17533
630	29898	17484
631	29943	17435
632	29984	17384
633	30032	17337
634	30071	17285
635	30111	17233
636	30156	17185
637	30199	17135
638	30243	17085
639	30291	17038
640	30339	16992
641	30379	16940
642	30422	16890
643	30467	16842
644	30509	16792
645	30553	16743
646	30596	16693
647	30640	16643
648	30687	16596
649	30735	16549
650	30790	16506
651	30858	16470
652	30906	16423
653	30957	16378
654	31006	16331
655	31058	16286
656	31117	16245
657	31172	16202
658	31223	16156
659	31278	16113
660	31326	16065
661	31375	16019
662	31418	15969
663	31468	15923
664	31513	15875
665	31557	15825
666	31601	15776
667	31648	15729
668	31691	15679
669	31734	15630
670	31783	15583
671	31831	15537
672	31882	15491
673	31931	15444
674	31979	15397
675	32022	15347
676	32074	15302
677	32117	15253
678	32162	15204
679	32208	15156
680	32256	15109
681	32302	15061
682	32344	15012
683	32384	14961
684	32427	14911
685	32468	14861
686	32510	14812
687	32556	14764
688	32599	14714
689	32646	14667
690	32690	14618
691	32736	14570
692	32783	14523
693	32825	14473
694	32870	14425
695	32933	14384
696	32986	14339
697	33040	14295
698	33086	14247
699	33139	14202
700	33184	14154
701	33231	14106
702	33282	14061
703	33334	14015
704	33382	13968
705	33428	13920
706	33470	13871
707	33515	13822
708	33562	13775
709	33605	13726
710	33652	13678
711	33699	13631
712	33751	13585
713	33795	13537
714	33841	13489
715	33889	13442
716	33940	13396
717	33982	13346
718	34026	13298
719	34073	13250
720	34119	13203
721	34167	13156
722	34216	13109
723	34266	13062
724	34314	13015
725	34360	12968
726	34404	12919
727	34465	12877
728	34509	12828
729	34555	12780
730	34604	12733
731	34648	12685
732	34690	12636
733	34737	12588
734	34782	12540
735	34825	12491
736	34872	12444
737	34916	12395
738	34955	12345
739	34999	12297
740	35044	12248
741	35086	12199
742	35128	12150
743	35172	12102
744	35215	12053
745	35259	12005
746	35302	11956
747	35350	11909
748	35388	11859
749	35437	11812
750	35479	11763
751	35521	11714
752	35565	11666
753	35606	11616
754	35647	11567
755	35689	11518
756	35736	11471
757	35780	11423
758	35825	11375
759	35869	11327
760	35910	11277
761	35955	11230
762	36003	11183
763	36050	11135
764	36092	11087
765	36140	11040
766	36186	10992
767	36240	10947
768	36285	10899
769	36333	10852
770	36390	10808
771	36431	10759
772	36492	10716
773	36540	10669
774	36586	10621
775	36633	10574
776	36680	10527
777	36730	10480
778	36776	10433
779	36823	10385
780	36864	10337
781	36913	10290
782	36961	10243
783	37009	10196
784	37057	10149
785	37105	10102
786	37148	10054
787	37196	10007
788	37241	9959
789	37288	9912
790	37334	9864
791	37379	9816
792	37436	9772
793	37481	9724
794	37522	9675
795	37570	9628
796	37617	9581
797	37661	9533
798	37707	9485
799	37754	9438
800	37797	9390
801	37845	9343
802	37903	9298
803	37957	9253
804	38006	9206
805	38059	9160
806	38115	9115
807	38167	9069
808	38222	9024
809	38269	8976
810	38313	8928
811	38356	8880
