iter	RMSE
0	193212.5916
1	186649.1293
2	180370.6346
3	175346.0472
4	169235.0471
5	164141.986
6	159011.5788
7	154185.1364
8	149401.7577
9	145138.3115
10	141120.1367
11	137465.1403
12	134236.3236
13	130915.7219
14	127911.9658
15	124689.9634
16	122002.0758
17	119399.0712
18	116728.2169
19	114150.3838
20	112170.6159
21	109786.0346
22	107914.0927
23	105900.8632
24	104171.2303
25	102443.4168
26	101067.7186
27	99264.19232
28	97541.11759
29	96025.63555
30	95256.16087
31	93862.96765
32	92432.11876
33	91222.96963
34	90016.98028
35	89148.9614
36	88233.69865
37	87168.11534
38	86225.39391
39	85433.23388
40	84636.14377
41	83784.66794
42	82978.16054
43	82334.7908
44	81544.05169
45	80698.49691
46	79965.91453
47	79207.22041
48	78435.65918
49	77806.51543
50	77088.59566
51	76446.83298
52	75937.03392
53	75336.09253
54	74909.92601
55	74419.95702
56	73872.52414
57	73367.07347
58	72864.69857
59	72363.75534
60	71860.94348
61	71394.14945
62	70958.01758
63	70574.91936
64	70058.16323
65	69778.52103
66	69469.33814
67	69050.81507
68	68675.55256
69	68309.89315
70	67964.31567
71	67673.16144
72	67331.90378
73	67027.67254
74	66709.83489
75	66524.83944
76	66164.99652
77	65942.88777
78	65618.11444
79	65227.67599
80	64895.76794
81	64516.55011
82	64194.72223
83	63851.47
84	63598.17339
85	63363.14238
86	63012.16632
87	62743.81363
88	62485.32078
89	62145.16564
90	61603.79692
91	61421.16498
92	61203.48799
93	61069.95825
94	60869.36213
95	60342.07839
96	60131.61765
97	59862.43785
98	59540.31822
99	59340.97449
100	59107.88507
101	58942.55426
102	58705.07607
103	58560.77619
104	58385.84317
105	58184.99951
106	57985.79131
107	57800.00815
108	57576.5211
109	57432.17248
110	57223.33919
111	57112.23157
112	56928.70781
113	56797.8356
114	56635.41999
115	56472.08051
116	56227.83529
117	55780.7618
118	55648.51418
119	55529.86247
120	55381.95136
121	55296.63052
122	55115.91269
123	54971.47615
124	54857.0849
125	54769.11678
126	54654.79387
127	54238.88397
128	54043.07655
129	53925.58591
130	53780.64171
131	53665.86391
132	53469.50268
133	53359.72357
134	53236.18507
135	53131.55139
136	53038.66162
137	52919.93562
138	52811.06211
139	52696.25079
140	52371.62202
141	52255.49475
142	52155.40486
143	52004.35863
144	51955.03784
145	51910.06125
146	51805.46472
147	51369.92141
148	51165.39319
149	51130.18418
150	51018.91362
151	50871.02929
152	50655.4843
153	50547.96093
154	50467.67277
155	50275.46401
156	49960.16783
157	49876.71248
158	49782.30024
159	49704.29038
160	49628.94383
161	49489.49906
162	49406.17968
163	49314.2478
164	49286.95553
165	49233.36288
166	49110.99277
167	49006.91377
168	48501.25499
169	48476.24615
170	48309.65617
171	48286.72009
172	48265.38468
173	48245.53025
174	48153.25493
175	48061.4434
176	47924.12944
177	47516.83716
178	47370.04976
179	47352.55488
180	47336.25541
181	47279.70493
182	47130.19356
183	47044.73604
184	46740.40939
185	46642.76812
186	46550.0982
187	46471.73201
188	46382.66944
189	46298.56089
190	46176.53468
191	45836.7617
192	45761.21494
193	45747.813
194	45642.19972
195	45511.11352
196	45498.72842
197	45429.24716
198	45362.32438
199	45262.01743
200	45250.3881
201	44965.67643
202	44639.85873
203	44617.68136
204	44541.65556
205	44498.53772
206	44487.84962
207	44477.89796
208	44468.62815
209	44345.49807
210	44241.91147
211	44109.18736
212	43944.00492
213	43815.34607
214	43765.2571
215	43757.21757
216	43675.27935
217	43405.68324
218	43314.61207
219	43225.20034
220	43165.75678
221	42837.63402
222	42560.33529
223	42488.93004
224	42424.51485
225	42370.71867
226	42261.6442
227	42180.51796
228	41898.84962
229	41737.23969
230	41708.65312
231	41442.18152
232	41340.31868
233	41262.58842
234	41212.99465
235	41088.1114
236	40781.11364
237	40707.64805
238	40651.17339
239	40553.67291
240	40332.75472
241	40243.92639
242	40187.96736
243	40136.15209
244	40039.12801
245	39956.80851
246	39879.27812
247	39674.34586
248	39610.23014
249	39490.71907
250	39420.7387
251	39364.53331
252	39338.56691
253	39283.5872
254	39181.0063
