iter	Passed	Remaining
0	164	164398
1	170	84995
2	173	57749
3	175	43683
4	183	36556
5	187	31136
6	190	26953
7	191	23754
8	193	21279
9	197	19598
10	199	17947
11	201	16573
12	202	15392
13	204	14384
14	205	13505
15	207	12749
16	212	12261
17	213	11661
18	215	11112
19	216	10625
20	218	10177
21	219	9769
22	221	9399
23	227	9271
24	229	8954
25	231	8658
26	232	8380
27	234	8127
28	235	7886
29	239	7730
30	241	7563
31	243	7369
32	245	7187
33	247	7018
34	248	6857
35	250	6698
36	251	6552
37	256	6490
38	257	6356
39	259	6226
40	260	6103
41	262	5987
42	263	5874
43	265	5765
44	270	5746
45	272	5654
46	274	5563
47	275	5471
48	277	5384
49	278	5299
50	280	5221
51	285	5210
52	287	5133
53	288	5061
54	290	4991
55	292	4922
56	293	4853
57	294	4787
58	299	4773
59	301	4722
60	303	4666
61	304	4608
62	306	4551
63	307	4495
64	309	4451
65	313	4441
66	315	4394
67	317	4346
68	318	4298
69	320	4253
70	321	4208
71	323	4163
72	324	4120
73	328	4111
74	331	4082
75	332	4043
76	334	4003
77	335	3965
78	336	3927
79	338	3890
80	339	3854
81	345	3863
82	346	3830
83	348	3796
84	349	3762
85	350	3729
86	352	3697
87	353	3666
88	355	3640
89	358	3622
90	359	3593
91	361	3565
92	362	3537
93	363	3503
94	364	3476
95	366	3453
96	368	3428
97	369	3403
98	371	3379
99	373	3360
100	374	3337
101	376	3315
102	378	3299
103	384	3315
104	386	3297
105	388	3279
106	391	3264
107	392	3244
108	395	3232
109	397	3214
110	398	3194
111	400	3174
112	402	3161
113	404	3141
114	405	3124
115	407	3106
116	409	3087
117	410	3068
118	411	3049
119	413	3033
120	415	3016
121	416	2999
122	418	2984
123	420	2968
124	421	2952
125	423	2937
126	425	2921
127	426	2905
128	428	2890
129	429	2874
130	430	2858
131	432	2844
132	434	2830
133	436	2820
134	438	2806
135	439	2791
136	440	2777
137	442	2763
138	443	2749
139	445	2735
140	446	2722
141	449	2713
142	450	2700
143	452	2690
144	453	2673
145	454	2655
146	455	2643
147	456	2630
148	458	2618
149	459	2602
150	460	2590
151	462	2580
152	464	2570
153	466	2560
154	467	2548
155	468	2537
156	470	2528
157	472	2517
158	473	2506
159	475	2494
160	476	2485
161	479	2478
162	480	2468
163	482	2459
164	483	2445
165	485	2436
166	486	2426
167	487	2416
168	489	2407
169	490	2393
170	492	2386
171	493	2374
172	493	2361
173	494	2347
174	495	2338
175	497	2328
176	498	2319
177	501	2314
178	502	2306
179	503	2294
180	504	2281
181	505	2272
182	508	2268
183	509	2260
184	512	2255
185	514	2249
186	515	2241
187	517	2233
188	518	2224
189	519	2216
190	523	2216
191	525	2210
192	527	2204
193	527	2193
194	529	2184
195	530	2176
196	531	2165
197	532	2157
198	534	2150
199	536	2144
200	537	2135
201	538	2128
202	540	2123
203	542	2115
204	543	2108
205	545	2100
206	545	2090
207	546	2079
208	547	2070
209	548	2064
210	550	2056
211	552	2052
212	553	2045
213	555	2041
214	557	2035
215	558	2025
216	559	2019
217	561	2013
218	562	2006
219	564	2000
220	565	1993
221	567	1989
222	569	1983
223	571	1978
224	572	1973
225	575	1969
226	576	1963
227	578	1957
228	579	1951
229	582	1949
230	583	1943
231	585	1939
232	587	1933
233	588	1927
234	590	1921
235	591	1916
236	594	1912
237	595	1907
238	597	1902
239	599	1897
240	601	1894
241	602	1888
242	604	1882
243	606	1878
244	607	1872
245	609	1867
246	611	1863
247	612	1858
248	614	1854
249	616	1850
250	618	1845
251	619	1839
252	621	1834
253	622	1829
254	624	1823
255	626	1820
256	628	1816
257	629	1811
258	631	1806
259	633	1801
260	634	1796
261	635	1791
262	637	1786
263	641	1788
264	643	1785
265	645	1780
266	646	1775
267	648	1770
268	649	1765
269	651	1760
270	652	1755
271	654	1750
272	656	1749
273	658	1745
274	660	1740
275	662	1737
276	664	1733
277	665	1728
278	667	1723
279	668	1719
280	671	1717
281	674	1716
282	675	1712
283	677	1707
284	678	1702
285	680	1697
286	681	1692
287	682	1688
288	685	1686
289	687	1683
290	689	1679
291	691	1675
292	692	1670
293	693	1666
294	695	1662
295	697	1657
296	698	1653
297	701	1652
298	703	1649
299	705	1645
300	706	1641
301	708	1637
302	710	1633
303	711	1628
304	714	1627
305	716	1625
306	718	1621
307	720	1617
308	721	1613
309	722	1608
310	724	1604
311	726	1601
312	727	1597
313	730	1594
314	733	1594
315	735	1591
316	739	1592
317	740	1588
318	741	1583
319	745	1584
320	747	1580
321	748	1576
322	750	1573
323	751	1568
324	753	1564
325	754	1560
326	756	1556
327	760	1557
328	761	1553
329	763	1549
330	764	1545
331	765	1541
332	767	1537
333	769	1534
334	771	1531
335	774	1530
336	775	1526
337	777	1522
338	779	1519
339	780	1514
340	782	1511
341	783	1507
342	784	1503
343	786	1499
344	787	1494
345	789	1492
346	791	1489
347	794	1487
348	795	1484
349	797	1480
350	798	1476
351	799	1472
352	801	1468
353	803	1465
354	805	1463
355	807	1460
356	808	1456
357	810	1452
358	811	1449
359	813	1445
360	814	1441
361	816	1438
362	819	1438
363	821	1434
364	822	1431
365	824	1427
366	825	1424
367	827	1420
368	829	1417
369	830	1414
370	832	1410
371	833	1407
372	835	1404
373	837	1401
374	838	1397
375	840	1395
376	842	1391
377	843	1388
378	845	1384
379	846	1381
380	848	1378
381	850	1375
382	851	1372
383	854	1370
384	856	1367
385	857	1364
386	858	1360
387	860	1357
388	861	1353
389	864	1352
390	866	1349
